ranking,easy,medium,hard,acceptance,weekly
38886,255,478,77,50.0,20
257456,223,127,5,70.0,7
677,835,1316,152,90.0,58
241876,76,252,42,80.0,18
5000001,0,0,0,0,
89662,195,367,46,50.0,56
,,,,,
,,,,,
,,,,,
1390642,43,31,2,55.0,
,,,,,
39675,167,402,234,80.0,29
3290684,7,9,1,50.0,
,,,,,
5000001,0,0,0,0,
,,,,,
5000001,1,0,0,50.0,
,,,,,
,,,,,
5000001,2,0,0,50.0,
2490407,11,19,0,40.0,0
,,,,,
5000001,0,0,0,0,
5000001,0,0,0,0,
,,,,,
472221,66,144,24,55.0,11
5000001,4,1,0,33.33,
,,,,,
928899,31,79,15,30.0,
3968051,7,4,0,30.0,0
5000001,1,1,1,33.33,
5000001,2,4,0,62.5,8
260161,91,214,48,60.0,58
2169793,20,18,1,40.0,0
,,,,,
254923,125,209,24,55.0,8
2094176,27,14,0,85.0,0
5000001,0,0,0,0,
2808016,13,11,0,85.0,
81063,181,356,86,50.0,55
189415,130,261,33,70.0,58
,,,,,
50913,104,399,239,70.0,34
3716,424,730,376,80.0,30
598252,58,113,21,30.0,33
8033,339,690,230,90.0,4
56162,234,391,92,85.0,18
533908,56,131,25,40.0,21
198568,117,251,45,85.0,7
1373681,27,41,9,15.0,
2611790,26,2,0,25.0,
354,263,1694,632,45.0,6
5000001,0,0,0,0,
3225246,17,1,0,15.0,
109978,117,420,14,50.0,22
44061,350,407,21,75.0,13
315032,83,198,32,75.0,97
,,,,,
419772,107,120,28,50.0,
,,,,,
74531,233,352,61,85.0,31
5000001,0,0,0,0,
,,,,,
4610367,3,4,1,50.0,6
,,,,,
,,,,,
77066,151,402,83,70.0,45
98641,176,380,19,70.0,1
,,,,,
521111,35,137,46,80.0,23
4929916,5,1,0,40.0,
71275,143,404,109,80.0,24
,,,,,
,,,,,
,,,,,
,,,,,
16169,229,584,235,100.0,6
,,,,,
1372,470,999,483,90.0,5
,,,,,
379077,68,135,72,75.0,0
300063,82,187,53,45.0,
,,,,,
,,,,,
8630,311,604,319,55.0,0
,,,,,
293,659,1364,638,90.0,16
,,,,,
,,,,,
230,686,1432,626,90.0,4
,,,,,
,,,,,
590899,48,89,58,60.0,0
3701453,5,6,2,15.0,
259280,72,199,82,55.0,0
3252631,10,3,5,85.0,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
152889,114,253,105,100.0,
319651,63,147,100,90.0,8
,,,,,
136227,141,267,91,85.0,0
,,,,,
,,,,,
,,,,,
668265,41,88,45,70.0,0
,,,,,
4916,366,726,326,40.0,8
,,,,,
,,,,,
,,,,,
111340,137,276,133,50.0,0
,,,,,
5000001,0,0,0,0,
,,,,,
43,842,1757,774,70.0,13
1412868,20,42,14,100.0,7
,,,,,
9026,307,655,258,45.0,0
650110,41,106,31,45.0,
,,,,,
,,,,,
6603,342,656,325,30.0,7
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
863,538,1307,334,45.0,0
1334306,4,14,63,45.0,0
5000001,0,0,0,0,
450065,63,140,39,95.0,
,,,,,
,,,,,
298328,87,162,75,65.0,0
589,534,1285,557,75.0,19
181369,91,268,74,65.0,0
5000001,0,0,0,0,
1416984,22,39,13,60.0,
,,,,,
80633,213,334,77,85.0,0
,,,,,
61613,221,343,127,80.0,0
1732488,26,28,1,60.0,
5000001,0,0,0,0,
7023,314,721,267,80.0,
,,,,,
8493,367,656,217,60.0,
3819661,3,9,0,25.0,
46120,189,367,209,75.0,4
,,,,,
5000001,0,0,0,0,
208858,73,195,133,75.0,0
,,,,,
,,,,,
,,,,,
5000001,5,0,0,38.89,0
,,,,,
,,,,,
763765,59,75,19,65.0,0
810290,25,70,50,70.0,0
,,,,,
82,769,1631,710,95.0,11
31208,178,428,260,45.0,1
428760,75,141,35,60.0,
,,,,,
40166,260,397,143,75.0,0
1107,491,1160,411,95.0,11
,,,,,
1147,368,1073,599,65.0,8
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
283,644,1432,596,65.0,4
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
