ranking,easy,medium,hard,acceptance,weekly
4123439.0,8.0,2.0,0.0,85.71,0.0
3681926.0,4.0,6.0,4.0,50.0,7.0
574913.0,76.0,112.0,11.0,75.0,0.0
27568.0,276.0,479.0,145.0,40.0,3.0
592222.0,114.0,76.0,4.0,50.0,23.0
15279.0,402.0,526.0,136.0,75.0,4.0
9076.0,269.0,675.0,276.0,75.0,24.0
58337.0,185.0,423.0,98.0,70.0,41.0
315014.0,114.0,185.0,14.0,70.0,12.0
129130.0,131.0,314.0,68.0,70.0,22.0
158619.0,142.0,285.0,37.0,55.0,9.0
5124.0,271.0,807.0,333.0,70.0,19.0
869813.0,96.0,38.0,1.0,70.0,0.0
350.0,679.0,1384.0,531.0,80.0,13.0
690763.0,45.0,124.0,2.0,70.0,18.0
226026.0,97.0,240.0,46.0,95.0,0.0
273855.0,75.0,223.0,45.0,75.0,13.0
605137.0,44.0,114.0,32.0,70.0,0.0
733017.0,53.0,94.0,12.0,60.0,0.0
794837.0,37.0,70.0,41.0,55.0,7.0
185400.0,139.0,261.0,28.0,65.0,9.0
780960.0,44.0,85.0,21.0,70.0,8.0
55309.0,222.0,411.0,90.0,85.0,27.0
970.0,515.0,1143.0,463.0,75.0,18.0
142328.0,108.0,299.0,84.0,70.0,29.0
1384767.0,17.0,51.0,9.0,80.0,6.0
326876.0,85.0,194.0,26.0,70.0,19.0
222619.0,94.0,249.0,44.0,80.0,24.0
1048234.0,38.0,62.0,9.0,45.0,3.0
540899.0,48.0,129.0,33.0,65.0,29.0
175270.0,104.0,282.0,55.0,90.0,82.0
15231.0,249.0,604.0,213.0,65.0,23.0
59239.0,250.0,402.0,49.0,50.0,0.0
1414521.0,28.0,43.0,3.0,30.0,0.0
694313.0,57.0,98.0,13.0,35.0,13.0
4094.0,533.0,785.0,172.0,60.0,22.0
566465.0,45.0,121.0,36.0,50.0,5.0
7109.0,340.0,743.0,215.0,75.0,14.0
2975886.0,4.0,13.0,5.0,50.0,11.0
27920.0,281.0,548.0,68.0,65.0,11.0
241882.0,107.0,225.0,36.0,65.0,0.0
858430.0,53.0,69.0,14.0,85.0,0.0
5000001.0,1.0,2.0,0.0,75.0,4.0
18973.0,289.0,555.0,160.0,60.0,4.0
1671784.0,30.0,30.0,1.0,80.0,25.0
74782.0,183.0,383.0,78.0,70.0,14.0
226275.0,133.0,210.0,40.0,70.0,10.0
1493.0,527.0,1133.0,251.0,90.0,0.0
2407190.0,24.0,5.0,3.0,55.0,14.0
125955.0,162.0,302.0,53.0,65.0,15.0
342313.0,104.0,154.0,39.0,65.0,40.0
5000001.0,2.0,3.0,0.0,71.43,3.0
2570420.0,7.0,17.0,5.0,45.0,6.0
5000001.0,2.0,0.0,0.0,100.0,0.0
4299.0,386.0,836.0,250.0,55.0,8.0
102246.0,207.0,317.0,43.0,85.0,33.0
546663.0,84.0,110.0,14.0,55.0,4.0
72791.0,130.0,429.0,90.0,65.0,0.0
2708118.0,14.0,12.0,0.0,60.0,0.0
1201784.0,24.0,54.0,16.0,95.0,4.0
111122.0,162.0,330.0,56.0,90.0,115.0
2758266.0,8.0,13.0,4.0,50.0,6.0
233019.0,108.0,204.0,65.0,55.0,6.0
656404.0,56.0,100.0,22.0,75.0,13.0
1919569.0,14.0,19.0,15.0,45.0,0.0
871.0,695.0,1133.0,347.0,65.0,10.0
