ranking,easy,medium,hard,acceptance,weekly,score
176971,109,230,103,65,18,37
556092,101,89,15,60,0,34
19547,318,551,126,60,5,45
39348,161,410,234,60,0,42
366369,81,146,55,70,0,29
1371,576,1032,345,50,8,88
1173788,56,37,2,65,0,23
3029805,16,5,0,25,0,4
469787,62,113,60,70,0,34
3772,415,846,262,80,8,69
3566908,4,9,2,60,0,2
249,703,1383,633,70,12,97
2517,476,903,304,80,6,81
1413,606,1055,276,60,7,88
3983676,8,3,0,75,0,2
1606,564,994,318,85,8,86
884,548,1143,476,75,16,91
1700009,18,26,13,50,5,11
973,545,1274,301,100,12,90
15374,215,538,310,75,2,43
3592,230,920,392,60,0,80
729,544,1210,516,70,9,91
1137014,25,48,27,85,0,14
520,587,1273,571,60,0,93
2013,526,985,256,80,25,70
1979456,13,24,8,40,0,9
262929,72,150,129,75,27,36
237332,220,137,16,70,0,24
1392,483,965,496,70,7,80
451475,39,82,121,40,0,40
162363,72,230,157,75,2,40
46075,184,423,158,75,0,50
3096,420,972,211,65,0,74
97546,171,298,109,65,0,45
251,664,1414,638,75,18,96
92905,47,292,251,95,1,39
417525,73,134,50,85,0,30
935023,37,65,23,60,0,26
793284,59,80,9,55,0,32
1376,576,989,385,95,6,88
168536,92,236,122,70,0,46
4174,296,808,379,65,0,57
41091,267,468,60,70,0,36
52363,179,423,131,80,0,34
734926,62,84,13,75,0,23
1385,606,1045,295,65,5,84
8947,327,696,201,95,6,50
1115780,31,58,13,75,0,14
2345,508,950,249,55,115,80
2361,418,808,479,90,12,79
36282,254,469,104,45,0,30
1493406,26,33,10,75,4,11
6075,360,694,297,30,10,40
1347911,23,46,11,45,0,20
1115,716,1106,238,75,25,88
44,824,1754,792,60,20,98
1254,546,1227,226,40,0,88
80986,169,313,142,35,0,10
1358269,34,41,4,60,7,6
9715,309,651,239,50,7,77
2422,377,975,344,85,0,87
1329,420,1043,505,50,12,90
1064,772,1086,220,75,24,93
1502,567,1045,298,45,17,85
138227,165,248,83,90,3,38
591769,53,101,40,55,0,28
1070,490,1147,443,65,12,85
533996,49,111,52,40,0,20
226954,102,222,59,90,0,40
1195,518,1037,462,100,9,85
1899572,8,21,19,85,0,4
93227,171,328,90,35,0,44
285337,78,191,64,30,0,25
4476,447,718,293,45,0,75
2382657,7,10,16,30,0,5
120522,85,263,180,90,4,40
77458,15,309,310,100,4,50
20226,222,627,137,100,10,52
29321,241,529,113,80,2,50
1310498,24,46,13,60,0,15
5000001,0,1,0,100,0,4
45835,172,424,171,60,0,58
13340,276,639,189,90,0,60
346,633,1348,620,95,24,95
2588,405,924,343,95,12,85
