rating,easy,medium,hard,acceptance,weekly,score
2683,73,46,55,55,0,3013
2682,51,60,55,55,0,3018
2682,40,72,177,5,0,3397
2681,58,57,39,25,0,2970
2679,31,44,110,20,0,3128
2679,80,70,56,10,8,3067
2678,86,81,162,40,12,3412
2678,91,79,32,60,0,3023
2677,191,140,95,30,0,3433
2674,74,118,48,60,0,3128
2673,91,217,114,90,0,3540
2672,73,72,90,75,0,3159
2671,104,73,95,45,2,3206
2671,31,62,25,35,0,2901
2671,45,47,264,30,0,3602
2671,34,113,154,45,0,3393
2671,30,30,200,35,4,3361
2671,155,121,298,30,0,3962
2669,262,148,45,55,0,3362
2667,106,107,133,35,0,3386
2666,273,192,223,65,0,3992
2665,178,150,222,70,5,3809
2665,142,177,184,80,0,3713
2665,86,91,80,10,0,3173
2665,209,204,113,80,0,3621
2664,149,191,164,40,0,3687
2662,40,33,46,70,0,2906
2660,46,177,196,70,0,3648
2660,131,125,110,65,0,3371
2659,23,40,114,55,0,3104
2659,60,79,93,35,0,3156
2659,55,58,245,15,0,3565
2659,93,74,192,55,6,3476
2658,45,66,425,45,1,4110
2656,55,81,556,80,0,4541
2655,80,130,67,30,0,3196
2655,115,164,96,15,0,3386
2655,90,109,240,40,0,3683
2654,27,24,13,70,0,2768
2654,57,70,136,30,2,3259
2654,42,45,22,50,0,2852
2653,59,52,36,45,0,2924
2653,99,115,212,50,5,3618
2653,82,50,60,45,0,3015
2653,157,128,106,70,0,3384
2652,127,108,142,50,0,3421
2650,76,53,41,55,0,2955
2649,129,117,126,75,0,3390
2647,62,92,201,45,0,3496
2647,114,130,149,60,1,3468
2646,44,61,174,45,0,3334
2645,113,98,129,40,0,3341
2644,64,50,102,70,11,3114
2644,23,33,153,60,0,3192
2644,232,190,40,80,0,3376
2644,85,82,69,45,0,3100
2643,47,62,36,45,3,2922
2642,91,89,78,20,0,3145
2641,132,80,191,30,0,3506
2641,59,63,113,45,1,3165
2640,22,50,52,50,0,2918
2639,65,65,104,45,1,3146
2638,80,55,54,75,0,2990
2637,45,46,195,45,0,3359
2637,58,69,222,70,0,3499
2637,36,28,31,65,0,2822
2637,4,13,11,15,0,2700
2636,90,66,62,85,0,3044
2635,137,91,112,30,0,3290
2635,213,166,204,70,0,3792
2635,79,80,76,85,0,3102
2634,89,71,57,35,0,3036
2634,54,44,21,45,0,2839
2633,74,99,210,50,0,3535
2633,20,27,185,30,1,3262
2633,65,98,72,80,0,3110
2633,138,92,155,10,0,3420
2633,46,71,42,30,0,2947
2633,63,184,170,50,23,3574
2632,140,133,219,60,2,3695
2631,72,65,101,60,0,3136
2631,20,9,17,50,0,2720
2630,117,145,162,95,0,3523
2630,13,28,242,20,0,3425
2630,239,145,109,45,15,3486
2629,24,43,69,30,0,2946
2628,45,48,220,50,1,3429
2628,40,39,38,65,0,2860
2628,241,169,109,45,5,3534
2628,100,104,100,55,0,3236
2627,126,107,75,15,0,3192
2626,60,90,65,50,0,3061
2626,82,104,86,40,0,3174
2625,25,30,29,60,0,2797
2624,65,84,165,70,0,3352
2623,344,158,161,80,20,3766
2622,56,61,109,65,19,3127
2622,74,61,176,40,0,3346
2622,233,153,149,50,12,3608
2621,150,82,79,80,0,3172
2621,49,116,97,50,0,3193
2621,271,186,132,85,0,3660
2620,26,21,18,60,0,2742
2620,79,77,100,35,6,3153
2620,146,140,121,60,0,3409
2619,70,95,88,10,0,3143
2618,303,182,168,60,0,3789
2618,82,88,55,55,0,3041
